272612,947,975
272613,947,972
272614,947,970
272615,945,968
272616,943,971
272617,945,972
272618,946,969
272619,948,968
272620,946,967
272621,944,966
272622,942,964
272623,942,966
272624,945,965
272625,942,965
272626,942,961
272627,939,960
272628,940,962
272629,940,965
272630,944,965
272631,943,966
272632,943,966
272633,941,964
272634,941,969
272635,943,971
272636,945,974
272637,947,974
272638,946,974
272639,945,971
272640,945,973
272641,950,980
272642,952,984
272643,954,986
272644,954,983
272645,955,984
272646,955,984
272647,959,989
272648,960,987
272649,960,990
272650,960,991
272651,960,992
272652,961,995
272653,962,993
272654,966,998
272655,966,998
272656,967,999
272657,964,995
272658,963,997
272659,961,999
272660,965,1000
272661,966,997
272662,965,996
272663,963,992
272664,963,996
272665,965,998
272666,967,999
272667,965,1000
272668,965,999
272669,962,996
272670,961,995
272671,965,998
272672,966,998
272673,967,997
272674,965,996
272675,964,993
272676,962,994
272677,962,998
272678,964,1000
272679,963,999
272680,963,995
272681,962,991
272682,962,992
272683,961,995
272684,962,997
272685,962,998
272686,962,995
272687,961,993
272688,959,994
272689,961,995
272690,964,996
272691,963,992
272692,960,991
272693,959,989
272694,959,989
272695,960,992
272696,961,995
272697,959,991
272698,959,990
272699,955,989
272700,956,989
272701,958,991
272702,958,994
272703,956,995
272704,956,992
272705,955,988
272706,955,989
272707,957,991
272708,958,993
272709,957,992
272710,956,991
272711,954,987
272712,952,989
272713,956,992
272714,957,992
272715,957,992
272716,955,990
272717,954,989
272718,953,986
272719,955,990
272720,956,992
272721,956,990
272722,956,987
272723,956,987
272724,953,986
272725,952,989
272726,952,991
272727,954,991
272728,955,990
272729,955,989
272730,954,990
272731,954,992
272732,957,991
272733,958,991
272734,958,991
272735,954,990
272736,956,990
272737,959,992
272738,958,994
272739,957,992
272740,957,992
272741,955,989
272742,956,990
272743,956,992
272744,959,993
272745,958,993
272746,955,991
272747,954,989
272748,955,991
272749,956,991
272750,958,992
272751,956,992
272752,957,991
272753,954,991
272754,954,991
272755,957,992
272756,960,990
272757,963,991
272758,964,990
272759,963,988
272760,963,991
272761,967,993
272762,969,991
272763,970,989
272764,967,990
272765,967,991
272766,967,993
272767,969,994
272768,972,996
272769,973,997
272770,976,995
272771,976,994
272772,972,997
272773,975,1000
272774,977,1000
272775,979,999
272776,979,995
272777,978,997
272778,975,996
272779,977,1002
272780,977,1005
272781,978,1006
272782,978,1006
272783,976,1005
272784,977,1003
272785,980,1003
272786,983,1002
272787,984,1003
272788,979,1001
272789,969,998
272790,965,999
272791,963,1000
272792,963,999
272793,960,998
272794,953,995
272795,951,993
272796,951,993
272797,950,996
272798,952,997
272799,952,997
272800,953,992
272801,950,990
272802,951,992
272803,949,992
272804,951,992
272805,951,994
272806,950,992
272807,947,990
272808,946,992
272809,947,995
272810,950,996
272811,949,995
272812,949,992
272813,947,989
272814,944,992
272815,947,993
272816,948,995
272817,945,992
272818,947,991
272819,944,984
272820,943,981
272821,942,981
272822,937,979
272823,929,972
272824,925,966
272825,921,960
272826,913,962
272827,903,974
272828,898,988
272829,900,1006
272830,910,1023
272831,926,1036
272832,948,1048
272833,973,1065
272834,1004,1083
272835,1045,1106
272836,1096,1126
272837,1145,1130
272838,1179,1108
272839,1198,1054
272840,1184,995
272841,1135,968
272842,1059,963
272843,991,971
272844,941,977
272845,922,980
272846,918,982
272847,925,986
272848,931,984
272849,933,981
272850,930,984
272851,936,985
272852,938,985
272853,939,987
272854,939,984
272855,939,985
272856,937,987
272857,937,986
272858,940,987
272859,939,987
272860,938,987
272861,938,982
272862,935,984
272863,936,986
272864,939,989
272865,937,988
272866,936,983
272867,934,984
272868,933,983
272869,934,987
272870,936,988
272871,937,987
272872,939,984
272873,936,984
272874,933,986
272875,936,989
272876,939,990
272877,940,988
272878,939,987
272879,938,983
272880,936,986
272881,938,989
272882,938,990
272883,937,991
272884,936,986
272885,936,986
272886,934,987
272887,934,988
272888,935,989
272889,938,987
272890,937,987
272891,937,987
272892,935,989
272893,936,988
272894,938,989
272895,939,989
272896,935,985
272897,936,984
272898,936,984
272899,934,989
272900,936,987
272901,938,990
272902,939,985
272903,937,983
272904,935,983
272905,939,987
272906,940,985
272907,939,986
272908,939,983
272909,937,982
272910,935,980
272911,938,982
272912,940,981
272913,938,981
272914,936,982
272915,934,977
272916,935,979
272917,937,979
272918,937,976
272919,936,976
272920,934,971
272921,933,969
272922,932,970
272923,929,971
272924,930,970
272925,931,969
272926,931,965
272927,930,963
272928,929,961
272929,929,964
272930,932,963
272931,931,963
272932,929,961
272933,928,960
272934,926,960
272935,928,963
272936,930,965
272937,930,966
272938,930,968
272939,932,971
272940,932,974
272941,936,978
272942,938,981
272943,941,982
272944,944,984
272945,944,984
272946,945,991
272947,950,994
272948,954,997
272949,956,997
272950,960,997
272951,958,996
272952,958,998
272953,959,1001
272954,964,1004
272955,964,1003
272956,965,1000
272957,965,1000
272958,962,1001
272959,964,1003
272960,966,1001
272961,967,1007
272962,966,1003
272963,965,1002
272964,963,1002
272965,967,1003
